small vehicle,large vehicle,minibus,hatchback,sedan,bus,minivan,truck,van,jeep,cement mixer,dedicated agricultural vehicle,tanker,crane truck,pickup,light truck,prime mover,red,black,blue,silver/grey,white,other,yellow,green,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents
13114,10012,39423,39504,24234,16579,20746,28490,32445,30546,22052,29718,23030,38389,29526,28015,21009,17846,12939,15700,39217,37662,25889,31595,17472,16579,16579,16579,16579,16579,16579,16579,16579,16579,16579,16579,16579
14164,12022,21357,11406,39217,23738,39813,36817,33517,19239,10693,35515,32240,32958,38496,32529,19884,18412,23789,15123,12055,20542,37795,15374,10962,23738,23738,23738,23738,23738,23738,23738,23738,23738,23738,23738,23738
22214,19719,13021,15042,12055,13021,10542,16889,15971,35781,33548,33576,37043,32874,36734,17626,37043,36393,24104,35098,15334,13534,18220,11115,19244,13021,13021,13021,13021,13021,13021,13021,13021,13021,13021,13021,13021
20274,21936,19892,26898,15334,20500,23723,20671,27182,27812,32242,17032,32337,21009,31375,31129,10627,13017,26963,18362,21049,28695,11704,17925,21206,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500
29434,26025,28553,35667,21049,19575,17556,20809,28665,26486,13457,17689,20912,37615,33662,15686,17191,23514,28929,30645,35259,33063,11275,10885,35410,19575,19575,19575,19575,19575,19575,19575,19575,19575,19575,19575,19575
24491,35835,32389,39028,35259,23525,17286,31266,38565,15239,32470,17805,29876,19794,33063,25205,38613,36670,21006,20588,30073,38320,38462,30273,38423,23525,23525,23525,23525,23525,23525,23525,23525,23525,23525,23525,23525
24234,30550,39001,26072,30073,14859,18717,12622,24297,27808,21763,22727,28700,37920,16393,11588,37938,37793,22375,11698,14899,19356,18104,17795,10950,14859,14859,14859,14859,14859,14859,14859,14859,14859,14859,14859,14859
39217,34810,21065,17049,33877,24355,26483,38254,19602,38960,10025,20967,26240,37043,26411,26106,37615,10320,12972,39262,22049,21011,22877,27674,32142,24355,24355,24355,24355,24355,24355,24355,24355,24355,24355,24355,24355
12055,30031,16889,11433,22049,30150,29772,28797,35573,37354,15084,22305,29718,29947,29672,23721,21001,24913,10952,24451,35409,29332,24310,29709,15978,30150,30150,30150,30150,30150,30150,30150,30150,30150,30150,30150,30150
13509,39211,32746,37374,35409,26025,34183,17302,34683,25722,17513,24592,22727,32914,19627,26795,19499,10895,15058,13460,20657,36720,35221,10331,16759,26025,26025,26025,26025,26025,26025,26025,26025,26025,26025,26025,26025
21641,28440,28932,35456,20657,30907,10314,15084,21937,16655,11695,29876,17032,31124,13924,24393,19292,29800,29094,37340,38622,13509,16145,17985,10069,30907,30907,30907,30907,30907,30907,30907,30907,30907,30907,30907,30907
15334,29871,39978,39544,38622,33802,33083,24189,10088,36520,28649,26380,33576,38620,21728,21363,39563,32071,21695,25553,22312,39152,28251,38216,12807,33802,33802,33802,33802,33802,33802,33802,33802,33802,33802,33802,33802
21167,32383,25047,38938,22312,21357,14746,25301,22497,35835,20747,26240,17805,19292,39544,28842,10772,36251,31163,11294,39701,33651,31597,21587,17311,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357
22169,18715,23279,16039,39701,31839,28699,28776,23110,39845,20554,32240,26380,18115,15159,31390,24990,25151,27244,33989,10033,28539,13427,27506,15434,31839,31839,31839,31839,31839,31839,31839,31839,31839,31839,31839,31839
21049,20534,38846,24853,18246,13306,39537,19198,33220,13121,14172,35196,37330,25048,22971,19488,32874,19653,26828,19959,36855,39035,12784,32225,35187,13306,13306,13306,13306,13306,13306,13306,13306,13306,13306,13306,13306
37966,35082,14458,24522,36855,35424,30159,28569,12279,30135,27298,12086,24592,39563,37067,19082,34306,15832,25754,34665,28063,33996,37290,31741,18354,35424,35424,35424,35424,35424,35424,35424,35424,35424,35424,35424,35424
35259,14856,26632,22913,28063,10063,12296,30907,25526,22949,13342,28919,13111,23699,12791,15511,19794,33040,37596,11402,22017,20179,23130,38866,25167,10063,10063,10063,10063,10063,10063,10063,10063,10063,10063,10063,10063
22289,34266,26547,22259,22017,39978,17204,13590,33911,36383,27741,31534,12086,35889,35459,28514,11727,24865,35785,34317,15263,37770,30366,14615,21360,39978,39978,39978,39978,39978,39978,39978,39978,39978,39978,39978,39978
35869,18400,14203,19540,15263,12174,33816,25436,17756,21607,32009,18538,22305,38613,11813,25443,39509,32908,29459,36067,27996,18276,18264,34209,21349,12174,12174,12174,12174,12174,12174,12174,12174,12174,12174,12174,12174
30073,36132,11482,39399,16564,31262,32730,26972,25914,17564,15385,38620,17689,22037,21741,20582,22235,11350,38083,17426,37178,25972,16251,21510,20563,31262,31262,31262,31262,31262,31262,31262,31262,31262,31262,31262,31262
39501,21065,12974,22554,37178,36096,30382,32984,14502,13634,10020,18362,26632,26653,14963,13883,16411,11727,30658,13562,15405,17824,36018,26355,17522,36096,36096,36096,36096,36096,36096,36096,36096,36096,36096,36096,36096
39846,10996,15056,33395,15405,12974,32836,35320,36817,28680,25205,13111,33201,26379,20274,13236,21327,35155,17280,19475,18163,13248,34980,14465,21971,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974
14899,16045,31553,28338,18163,12959,24433,20936,28961,34895,31129,18689,35196,27257,19331,36055,26844,27814,39678,22135,13328,37355,16490,34306,16077,12959,12959,12959,12959,12959,12959,12959,12959,12959,12959,12959,12959
24664,10396,11814,13509,13328,26376,37326,22073,10510,18979,27680,30831,18362,17032,22169,18264,32958,31540,14214,27297,35786,33198,11029,14365,36572,26376,26376,26376,26376,26376,26376,26376,26376,26376,26376,26376,26376
33877,12621,37253,26840,35786,25047,18622,21048,36427,10080,11726,37330,18538,28816,35255,19096,23699,13090,17225,14268,31319,29986,28548,32789,12720,25047,25047,25047,25047,25047,25047,25047,25047,25047,25047,25047,25047
10662,38526,36096,11980,31319,10510,18206,34405,19410,33072,16011,18696,35841,34553,10110,15187,17032,22227,39291,12166,18897,21110,34025,23560,35626,10510,10510,10510,10510,10510,10510,10510,10510,10510,10510,10510,10510
19331,35155,21160,13605,18897,36817,13705,36584,20303,38599,38744,13503,28919,24164,11674,17552,38620,20379,17684,29248,22207,14572,24062,36801,29181,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817
22049,32515,26025,19683,12310,39213,22168,10474,27273,13622,34989,29755,18689,22235,16021,19227,28216,32751,14525,29228,12310,19915,11845,16630,25095,39213,39213,39213,39213,39213,39213,39213,39213,39213,39213,39213,39213
35409,33340,32515,24366,23238,16889,19367,15620,38826,17196,30871,22658,38620,16304,22574,27268,38435,21062,39569,21487,23238,24976,35408,32174,23966,16889,16889,16889,16889,16889,16889,16889,16889,16889,16889,16889,16889
20657,28746,14033,35375,28892,26972,16928,27249,38330,18206,13576,37839,38794,11001,19365,36349,20967,35219,35740,30354,28892,10679,16202,39088,17437,26972,26972,26972,26972,26972,26972,26972,26972,26972,26972,26972,26972
10986,32957,28946,16172,20375,15218,30974,35444,39453,34721,32424,21767,29755,18497,22559,30641,36670,33380,31387,13726,20375,22844,27546,21441,37039,15218,15218,15218,15218,15218,15218,15218,15218,15218,15218,15218,15218
25305,36543,13349,18765,15491,14856,28457,37509,38779,18495,16681,16370,13503,14715,14879,23130,32337,35573,36111,35421,15491,35456,35842,15401,14682,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856
38622,23724,11289,18925,31401,13480,25419,10538,38859,24929,32294,28700,18696,13496,30149,23728,24164,25656,35296,20344,31401,25727,35976,23662,22180,13480,13480,13480,13480,13480,13480,13480,13480,13480,13480,13480,13480
33568,23759,16579,13803,34505,29464,23794,21036,35030,18880,35675,30726,30831,24990,23977,30433,25048,38435,21340,34802,34505,26411,21621,16087,26467,29464,29464,29464,29464,29464,29464,29464,29464,29464,29464,29464,29464
22312,38089,29390,33235,13895,28616,28349,10726,30900,28200,14217,34137,37839,16217,16556,34878,37177,32939,18517,16803,13895,39946,17876,27049,13795,28616,28616,28616,28616,28616,28616,28616,28616,28616,28616,28616,28616
10146,30871,26141,12483,14828,20936,11092,26567,18400,32581,15900,15962,34137,37177,29161,28863,24592,18617,37558,29136,14828,13661,23186,16032,24723,20936,20936,20936,20936,20936,20936,20936,20936,20936,20936,20936,20936
39701,24336,24326,24886,13999,26547,23869,13340,31450,18597,10417,13950,21767,39552,26178,28499,18115,39688,24632,26988,13999,31366,35824,37762,16630,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547
18246,24932,33802,14687,21381,26740,22213,30746,28930,17033,36055,33201,23724,38348,17173,18247,14557,12965,19021,39633,21381,17762,19830,17640,30488,26740,26740,26740,26740,26740,26740,26740,26740,26740,26740,26740,26740
23830,14844,35274,38995,37406,11814,28310,17347,37210,29531,26907,20912,33447,11731,27651,34955,32914,24477,33167,21503,37406,30031,14025,35289,30436,11814,11814,11814,11814,11814,11814,11814,11814,11814,11814,11814,11814
10033,11735,18659,25471,10427,14033,22760,21923,32746,15935,26614,16552,16370,17015,23808,22131,32422,19292,37838,12983,10427,32462,27734,11030,12315,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
13972,30851,31147,29713,25720,25301,29210,15049,16984,37399,23253,26632,30643,27147,13509,33449,11098,13908,12059,21282,25720,17610,28355,27862,33841,25301,25301,25301,25301,25301,25301,25301,25301,25301,25301,25301,25301
19954,22335,38127,15004,28093,38741,38989,18412,11438,10065,14268,38794,22658,18360,38320,14280,26006,32837,37930,14911,27196,25993,15940,18128,12570,38741,38741,38741,38741,38741,38741,38741,38741,38741,38741,38741,38741
36855,32283,29464,11488,27196,14203,32708,11350,18375,17824,35084,32697,13950,32337,34557,23083,26653,12566,30821,33200,19639,14101,17985,32278,11881,14203,14203,14203,14203,14203,14203,14203,14203,14203,14203,14203,14203
28063,26191,38136,14369,19639,11482,23971,22659,13306,14140,23296,35841,15962,24592,18925,11391,18360,39380,35154,38142,31103,34407,34148,31268,22616,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482
23100,22956,35320,34614,39584,16288,25024,34231,25718,24045,21363,18177,16552,36670,24803,29229,28362,39296,12070,35515,14658,24054,28842,38631,16709,16288,16288,16288,16288,16288,16288,16288,16288,16288,16288,16288,16288
22844,23217,20936,12838,14658,11283,19850,16829,30907,16406,19227,30643,22355,19653,39597,18095,19653,25850,14183,10474,10052,38575,37171,39700,29611,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283
15959,14838,20500,10801,10052,12727,11869,19789,36251,10236,21103,22973,37583,20967,34211,22670,29782,24164,20457,16039,13685,10865,32102,39552,27194,12727,12727,12727,12727,12727,12727,12727,12727,12727,12727,12727,12727
22017,32639,27481,16389,13685,31550,30380,32974,16166,30185,36875,21512,14652,30542,39443,21103,18497,38676,36081,34844,35223,21342,30289,22426,21039,31550,31550,31550,31550,31550,31550,31550,31550,31550,31550,31550,31550
15263,25890,13092,31841,36457,37253,30662,24297,30015,25578,34602,16304,30726,22883,14281,15251,19210,25908,36807,38954,19076,39183,23385,23900,33355,37253,37253,37253,37253,37253,37253,37253,37253,37253,37253,37253,37253
16564,12279,26384,34695,35223,29871,36394,15218,26678,38057,39149,23168,22385,28054,19782,18628,12314,17198,33143,27162,35615,25559,10910,36943,22083,29871,29871,29871,29871,29871,29871,29871,29871,29871,29871,29871,29871
24235,38740,18333,15500,19076,32383,33932,17862,23749,29606,24959,33447,16304,22385,25149,35359,38348,36426,17415,39702,11445,10159,32278,24470,24471,32383,32383,32383,32383,32383,32383,32383,32383,32383,32383,32383,32383
27996,27435,31839,10546,35615,13092,25737,18140,14763,29210,32594,38571,25332,14745,21473,28649,14715,25626,31982,38290,38376,38531,26567,10568,38921,13092,13092,13092,13092,13092,13092,13092,13092,13092,13092,13092,13092
38178,14672,12174,13655,11445,15620,32767,26233,28849,10215,20481,25332,38571,25211,29140,32389,28816,20085,30537,12053,18853,25013,36103,25791,11766,15620,15620,15620,15620,15620,15620,15620,15620,15620,15620,15620,15620
37178,20349,25247,21741,38376,31615,33483,19575,29244,33869,39697,24164,19168,11727,11094,10025,39269,23616,35167,34072,15310,29279,25575,24628,20890,31615,31615,31615,31615,31615,31615,31615,31615,31615,31615,31615,31615
15405,31176,22659,25875,18853,15056,12386,30800,34231,22168,28514,15930,32697,15382,27269,24200,31937,29017,31238,11449,36015,30150,37850,28534,31467,15056,15056,15056,15056,15056,15056,15056,15056,15056,15056,15056,15056
18163,27898,19789,19021,15310,39423,18271,13306,25866,27537,17462,23724,22980,38452,22666,15829,16304,26029,26398,30084,22089,32480,15686,13165,37056,39423,39423,39423,39423,39423,39423,39423,39423,39423,39423,39423,39423
13328,20491,13043,19141,36015,28490,18597,29601,20359,28457,14062,37583,28946,29135,11279,13240,29975,35602,10916,18969,23673,12440,30487,39591,35112,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490
35786,38502,37995,10599,23556,39001,34053,10267,21075,21714,37509,24849,34955,19884,13662,29225,29718,27304,10235,37064,36976,33822,16311,16062,17301,39001,39001,39001,39001,39001,39001,39001,39001,39001,39001,39001,39001
31319,12915,11868,33063,24588,26567,37626,39981,15620,22752,22297,39302,21512,36377,19306,28454,34182,36172,35050,29778,30388,27631,24955,28433,30930,26567,26567,26567,26567,26567,26567,26567,26567,26567,26567,26567,26567
19733,26782,31534,31836,36976,31147,35701,16784,22269,23655,33586,22980,23168,22159,30605,15678,13139,35802,34693,22697,18228,24685,33106,36068,37272,31147,31147,31147,31147,31147,31147,31147,31147,31147,31147,31147,31147
18897,18600,14856,36563,30388,15296,30135,37544,36805,10542,27801,21948,28251,14728,37599,23217,10726,18794,29864,23826,18881,39850,27711,32281,23560,15296,15296,15296,15296,15296,15296,15296,15296,15296,15296,15296,15296
14034,29464,14708,36347,18228,24776,32379,22229,23677,34450,23582,32542,29782,32725,39270,20646,26379,37509,15102,20215,33952,32785,14719,18883,23454,24776,24776,24776,24776,24776,24776,24776,24776,24776,24776,24776,24776
22207,35465,19168,13008,18881,35320,27127,28907,28768,16901,23083,19096,24849,38435,11488,14014,12246,34542,19169,25607,28442,18096,14764,23986,27552,35320,35320,35320,35320,35320,35320,35320,35320,35320,35320,35320,35320
12310,15072,33201,10272,33952,28932,12931,33570,29850,11869,30845,23939,38846,32893,39269,23253,30081,33156,39145,17187,18732,18585,25745,30919,36358,28932,28932,28932,28932,28932,28932,28932,28932,28932,28932,28932,28932
23238,13750,12959,25850,28442,26384,35135,33802,21312,23015,15187,38435,24164,26006,19897,19892,38452,15620,15983,19210,28675,14748,39392,12941,32490,26384,26384,26384,26384,26384,26384,26384,26384,26384,26384,26384,26384
28892,16455,15266,23712,18732,23279,28617,13241,12959,29772,25868,19168,11891,29718,35375,21118,16217,31412,13465,12358,24954,38912,13671,21001,27954,23279,23279,23279,23279,23279,23279,23279,23279,23279,23279,23279,23279
20375,18857,38412,29883,28675,29390,31237,33517,31266,26671,34529,37177,22107,31937,22468,29136,17845,26760,15500,19070,22183,20274,19096,28915,20253,29390,29390,29390,29390,29390,29390,29390,29390,29390,29390,29390,29390
27592,28473,38733,17292,24954,24737,18515,28491,26252,12271,38249,29782,38412,26800,35456,31264,10902,19382,31605,24575,19365,33116,29308,28485,23614,24737,24737,24737,24737,24737,24737,24737,24737,24737,24737,24737,24737
37355,39752,13306,24387,22183,28553,34220,14458,37790,22251,14677,28251,21948,13171,24853,33349,26800,17845,19681,34761,34740,30095,22526,13109,16032,28553,28553,28553,28553,28553,28553,28553,28553,28553,28553,28553,28553
15491,13818,30531,21616,38531,38136,30185,23784,15144,20716,31414,34955,20920,39269,26898,17344,11001,35247,32401,37609,26190,12915,32333,30487,11439,38136,38136,38136,38136,38136,38136,38136,38136,38136,38136,38136,38136
31401,34350,25656,15923,34740,15266,19633,21818,15681,36394,11308,26379,38435,37316,38389,15214,35889,12748,14577,12060,19644,29957,17540,15940,20711,15266,15266,15266,15266,15266,15266,15266,15266,15266,15266,15266,15266
30263,13092,11891,37599,26190,14581,11545,26384,28920,11092,34479,18333,39302,29975,34553,33586,15930,29876,14239,18835,38036,22237,38351,31621,32031,14581,14581,14581,14581,14581,14581,14581,14581,14581,14581,14581,14581
34505,31670,35465,22612,19644,36827,33513,15298,16829,28789,18996,33995,18177,20291,10662,22557,39552,18524,25043,23369,33763,30597,38523,18273,20071,36827,36827,36827,36827,36827,36827,36827,36827,36827,36827,36827,36827
13895,27006,10063,38677,36973,31266,26346,24355,21830,36591,19830,38412,15930,10902,22289,19756,20671,26758,11533,38545,25191,10824,16270,20400,14619,31266,31266,31266,31266,31266,31266,31266,31266,31266,31266,31266,31266
14828,25737,26233,12057,33763,33842,11498,25047,12997,38377,33570,22385,10385,35186,23190,16510,25001,39906,37874,11185,39277,22335,36055,37615,27579,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842
13999,31763,30643,29687,25191,25247,19474,19346,23921,25733,39778,27998,19096,14394,17020,36711,13496,21009,20787,28463,19153,28573,30034,12367,28861,25247,25247,25247,25247,25247,25247,25247,25247,25247,25247,25247,25247
21381,11692,22790,32114,39277,17302,39898,32815,27317,13460,27906,22355,18333,15359,38938,38741,35186,31534,18575,24253,13029,12279,33714,25093,39371,17302,17302,17302,17302,17302,17302,17302,17302,17302,17302,17302,17302
37406,23504,37243,36047,19153,24326,35423,23525,20527,31032,22736,10385,38127,27200,27888,12086,12803,28388,29277,28216,28239,38869,16169,35860,21648,24326,24326,24326,24326,24326,24326,24326,24326,24326,24326,24326,24326
33112,30282,30746,28339,13029,19892,39892,35530,10909,26199,31182,38846,32542,39740,13844,28662,31140,17078,37707,31139,10942,12101,22652,29176,31313,19892,19892,19892,19892,19892,19892,19892,19892,19892,19892,19892,19892
10427,37760,27949,26368,28239,38127,29041,31615,14272,30974,22043,23699,17954,15662,26920,23759,29876,20925,28087,21133,24882,38842,33201,23218,18484,38127,38127,38127,38127,38127,38127,38127,38127,38127,38127,38127,38127
28007,38223,32815,22524,10942,31553,25578,12079,27435,27127,13240,11891,32389,25337,36497,22305,24526,18493,25688,39777,32331,16984,19233,19027,26958,31553,31553,31553,31553,31553,31553,31553,31553,31553,31553,31553,31553
25720,14994,17302,30446,24882,13349,11137,36827,16419,27244,38502,12803,29519,29782,35889,32366,22658,23636,38611,21948,18373,26591,28485,15705,23170,13349,13349,13349,13349,13349,13349,13349,13349,13349,13349,13349,13349
12040,34649,24355,22666,32331,24189,39467,23110,39981,13420,34952,38613,37177,31762,29630,39979,34137,24097,29405,26207,29183,16534,19892,30580,21416,24189,24189,24189,24189,24189,24189,24189,24189,24189,24189,24189,24189
28093,39843,26567,12615,18373,37995,35060,26376,36809,30382,26074,18166,14708,32630,18497,34479,18249,10728,30740,34559,31283,35191,11184,22401,22347,37995,37995,37995,37995,37995,37995,37995,37995,37995,37995,37995,37995
27196,39062,30915,12802,29183,15314,26361,38368,10465,19152,22670,18247,23939,30081,23133,15976,20334,25100,10884,33193,28159,28680,39260,12134,12851,15314,15314,15314,15314,15314,15314,15314,15314,15314,15314,15314,15314
12453,23723,28251,22570,31283,38480,25722,21846,16992,19633,16262,26023,33995,16212,22037,14217,19782,12160,30297,18765,17974,17023,37635,19055,30273,38480,38480,38480,38480,38480,38480,38480,38480,38480,38480,38480,38480
19639,37466,22355,37596,28159,37846,24045,13043,33040,33062,30641,24990,26576,13673,12246,22159,36678,23030,15855,18078,34131,32708,39600,29693,26460,37846,37846,37846,37846,37846,37846,37846,37846,37846,37846,37846,37846
17745,25189,10738,29140,17974,21160,24870,30034,32585,28617,14812,38668,27998,19782,36623,14655,33340,24919,13571,17191,31375,26475,19226,13816,11762,21160,21160,21160,21160,21160,21160,21160,21160,21160,21160,21160,21160
13888,31609,13480,32265,34131,16784,34005,24272,19030,28391,19346,14708,24990,37723,38452,21826,34405,16171,14123,25307,13690,16259,20717,22191,27506,16784,16784,16784,16784,16784,16784,16784,16784,16784,16784,16784,16784
20849,30970,27998,21486,13690,29063,28411,12392,33802,34053,18515,20920,38613,13139,37920,11695,17932,16552,12452,15121,15197,17439,19161,25382,13748,29063,29063,29063,29063,29063,29063,29063,29063,29063,29063,29063,29063
28695,21146,19969,13357,24895,14458,16094,28216,11226,39920,25482,18497,22670,35281,19653,13885,29135,11484,28703,22094,33241,11651,27195,20891,15318,14458,14458,14458,14458,14458,14458,14458,14458,14458,14458,14458,14458
39584,23246,23415,10662,15197,13043,34330,15505,33047,26346,14844,38452,10515,12620,36678,19830,34553,31555,11552,10622,16383,10366,30902,17298,11108,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043
31103,22983,17698,11011,33241,34261,18498,13146,38480,36468,19474,30081,23699,33576,10095,37917,34542,31076,21697,10803,35396,32746,27049,37867,36769,34261,34261,34261,34261,34261,34261,34261,34261,34261,34261,34261,34261
11368,29077,35424,12236,16383,21936,25705,11814,19031,39467,26858,28863,11289,17191,39202,14172,21577,32909,22137,32893,35677,20088,33429,29161,22349,21936,21936,21936,21936,21936,21936,21936,21936,21936,21936,21936,21936
28496,24355,23168,38736,35396,18659,20807,34137,13513,29149,22566,10515,24241,18166,39552,13342,20684,17445,31164,29135,12018,10043,39591,23974,25458,18659,18659,18659,18659,18659,18659,18659,18659,18659,18659,18659,18659
14658,17289,28700,13529,31805,35465,17395,31465,35130,10314,15706,37154,22937,34182,19292,14222,32542,11610,10880,38872,15427,24303,11392,19499,10446,35465,35465,35465,35465,35465,35465,35465,35465,35465,35465,35465,35465
10052,22390,10721,17052,12018,26141,22161,20500,32144,21843,29397,28946,38668,36623,39563,20920,27113,32337,29616,15226,38072,27106,17326,32967,27367,26141,26141,26141,26141,26141,26141,26141,26141,26141,26141,26141,26141
35306,20169,16784,35885,15427,15330,20692,26197,23525,25299,20147,17954,26023,12314,18612,18696,24241,38389,13390,39904,29212,29813,33233,38002,39624,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330
15363,36096,30515,35255,38072,25656,23674,11283,34206,34881,20807,26576,31104,16411,13673,37992,30726,13178,36683,30291,18530,14222,15401,25108,23194,25656,25656,25656,25656,25656,25656,25656,25656,25656,25656,25656,25656
20475,15314,24189,30149,29212,21036,23755,30515,31555,32850,20232,15662,24524,12358,26844,21948,22385,19728,11305,39346,22664,34244,38360,21673,13669,21036,21036,21036,21036,21036,21036,21036,21036,21036,21036,21036,21036
13685,16953,14714,31375,18530,30746,24644,17845,27631,35049,25287,31360,38452,32542,26776,18888,13503,36867,32210,15923,34292,35627,21585,13180,12395,30746,30746,30746,30746,30746,30746,30746,30746,30746,30746,30746,30746
36457,38911,26023,30617,22664,29284,23705,32897,24189,39892,26038,37615,18166,29876,11433,17689,25332,19566,35533,26367,26099,21312,13111,24783,31263,29284,29284,29284,29284,29284,29284,29284,29284,29284,29284,29284,29284
21989,12101,38571,13113,34292,32366,26199,25656,21036,27103,20582,29519,27481,12160,14317,16476,13111,21338,37719,16406,19053,23754,10330,38563,22879,32366,32366,32366,32366,32366,32366,32366,32366,32366,32366,32366,32366
23970,34599,33995,18350,26099,38846,39061,22790,26263,25419,28741,24010,22973,33340,14728,25247,16602,27596,22252,27791,12257,14502,31112,22920,21871,38846,38846,38846,38846,38846,38846,38846,38846,38846,38846,38846,38846
35223,16579,29279,12566,19053,13835,14844,29063,23976,14982,19756,16510,18973,39600,35186,37995,31398,25819,30422,35317,24957,10436,20920,35642,15747,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835
34557,12295,37846,29672,12257,27481,25497,37657,14672,11498,38755,22227,38733,39509,12356,30600,21512,36164,27210,15925,16852,39428,27906,37043,25414,27481,27481,27481,27481,27481,27481,27481,27481,27481,27481,27481,27481
19076,14217,36827,10038,24957,27949,30498,27949,28491,20752,14655,26006,14812,26844,26240,18362,37316,25556,13049,15249,16050,13818,11222,27516,12559,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949
22116,14518,30150,13581,16852,26632,27801,38136,19091,36038,20080,18888,18497,14151,31925,13480,25597,10767,22039,36573,11568,34554,21953,20729,33473,26632,26632,26632,26632,26632,26632,26632,26632,26632,26632,26632,26632
39270,27338,18028,35167,16050,37544,24929,18625,25891,10237,34878,27481,24010,24526,15335,34989,32697,20334,35238,15440,36480,32870,37043,26841,27918,37544,37544,37544,37544,37544,37544,37544,37544,37544,37544,37544,37544
30213,30838,38819,11984,11568,10256,18043,32470,29568,34792,23907,18028,28950,17604,24336,22674,13844,26736,29223,33736,26616,38839,14383,14025,17631,10256,10256,10256,10256,10256,10256,10256,10256,10256,10256,10256,10256
25993,30095,21036,29186,36480,35274,20534,38595,22747,26767,18264,18115,10902,12166,10902,35084,28054,39113,37548,26194,31740,16101,28657,25566,18928,35274,35274,35274,35274,35274,35274,35274,35274,35274,35274,35274,35274
